"Major","Course ID","Course Name","Credits","Prerequisites","Course Description","Detailed Course Prerequisite","Key Words"
"Applied Mathematics","AMATH 481","Scientific Computing","5","AMATH 301, AMATH 351, MATH 135, MATH 207, AMATH 352, MATH 136, MATH 208","Survey of numerical techniques for differential equations. Emphasis is on implementation of numerical schemes for application problems. For ordinary differential equations, initial value problems and second order boundary value problems are covered. Methods for partial differential equations include finite differences, finite elements and spectral methods. Requires use of a scientific programming language (e.g., MATLAB or Python). ","AMATH 301; either AMATH 351, MATH 135, or MATH 207; and either AMATH 352, MATH 136, or MATH 208","Numerical Analysis, Computer-Aided Mathematics, Differential Equations & Dynamical Systems"
"Applied Mathematics","AMATH 482","Computational Methods for Data Analysis","5","AMATH 301, AMATH 352, MATH 136, MATH 208","Exploratory and objective data analysis methods applied to the physical, engineering, and biological sciences. Brief review of statistical methods and their computational implementation for studying time series analysis, spectral analysis, filtering methods, principal component analysis, orthogonal mode decomposition, and image processing and compression. ","AMATH 301; and either AMATH 352, MATH 136, or MATH 208","Data Science & Data Engineering, Analysis & Real Analysis, Computation & Scientific Computing"
"Applied Mathematics","AMATH 483","High-Performance Scientific Computing","5","AMATH 481, AMATH 352, MATH 136, MATH 208","Introduction to hardware, software, and programming for large-scale scientific computing. Overview of multicore, cluster, and supercomputer architectures; procedure and object oriented languages; parallel computing paradigms and languages; graphics and visualization of large data sets; validation and verification; and scientific software development. ","AMATH 481; and either AMATH 352, MATH 136 or MATH 208","Computation & Scientific Computing, Data Science & Data Engineering, Computer Hardware & Architecture"
"Applied Mathematics","AMATH 501","Vector Calculus and Complex Variables","5","","Emphasizes acquisition of solution techniques; illustrates ideas with specific example problems arising in science and engineering. Includes applications of vector differential calculus, complex variables; line-surface integrals; integral theorems; and Taylor and Laurent series, and contour integration.","either a course in vector calculus or permission of instructor.","Complex Analysis & Complex Variables, Combinatorics & Discrete Mathematics, Computer-Aided Mathematics"
"Applied Mathematics","AMATH 502","Introduction to Dynamical Systems and Chaos","5","","Overview methods describing qualitative behavior of solutions on nonlinear differential equations. Phase space analysis of fixed pointed and periodic orbits. Bifurcation methods. Description of strange attractors and chaos. Introductions to maps. Applications: engineering, physics, chemistry, and biology. ","either a course in differential equations or permission of instructor.","Differential Equations & Dynamical Systems, Topology & Geometry, Numerical Analysis"
"Applied Mathematics","AMATH 503","Methods for Partial Differential Equations","5","AMATH 501","Covers separation of variables, Fourier series and Fourier transforms, Sturm-Liouville theory and special functions, eigenfunction expansions, and Greens functions","either AMATH 501 and a course in differential equations, or permission of instructor","Differential Equations & Dynamical Systems, Combinatorics & Discrete Mathematics, Complex Analysis & Complex Variables"
"Applied Mathematics","AMATH 505","Introduction to Fluid Dynamics","4","","Eulerian equations for mass-motion; Navier-Stokes equation for viscous fluids, stress-strain relations; Kelvin's theorem, vortex dynamics; potential flows, flows with high-low Reynolds numbers; boundary layers, surface gravity waves; sound waves, and linear instability theory. ","either a course in partial differential equations or permission of instructor. ","Differential Equations & Dynamical Systems, Numerical Analysis, Complex Analysis & Complex Variables"
"Applied Mathematics","AMATH 507","Calculus of Variations ","5","MATH 224, MATH 327, AMATH 351, MATH 207","Necessary and sufficient conditions for a weak and strong extremum. Legendre transformation, Hamiltonian systems. Constraints and Lagrange multipliers. Space-time problems with examples from elasticity, electromagnetics, and fluid mechanics. Sturm-Liouville problems. Approximate methods.","MATH 224; MATH 327; and either AMATH 351 or MATH 207","Differential Equations & Dynamical Systems, Mathematical Modeling, Discrete Mathematics & Graph Theory"
"Applied Mathematics","AMATH 514","Networks and Combinatorial Optimization","3","MATH 208, AMATH 352","Mathematical foundations of combinatorial and network optimization with an emphasis on structure and algorithms with proofs. Topics include combinatorial and geometric methods for optimization of network flows, matching, traveling salesmen problem, cuts, and stable sets on graphs. Special emphasis on connections to linear and integer programming, duality theory, total unimodularity, and matroids. ","either MATH 208 or AMATH 352; and any additional 400-level MATH course","Optimization, Combinatorics & Discrete Mathematics, Discrete Mathematics & Graph Theory"
"Applied Mathematics","AMATH 515","Optimization: Fundamentals and Applications","5","","Maximization and minimization of functions of finitely many variables subject to constraints. Basic problem types and examples of applications; linear, convex, smooth, and nonsmooth programming. Optimality conditions. Saddlepoints and dual problems. Penalties, decomposition. Overview of computational approaches. ","Proficiency in linear algebra and advanced calculus/analysis; recommended: Strongly recommended: probability and statistics. Desirable: optimization, e.g. Math 408, and scientific programming experience in Matlab, Julia or Python. ","Optimization, Control Systems & Optimization, Combinatorics & Discrete Mathematics"
"Applied Mathematics","AMATH 516","Numerical Optimization","3","","Methods of solving optimization problems in finitely many variables, with or without constraints. Steepest descent, quasi-Newton methods. Quadratic programming and complementarity. Exact penalty methods, multiplier methods. Sequential quadratic programming. Cutting planes and nonsmooth optimization. ","","Optimization, Control Systems & Optimization, Numerical Analysis"
"Applied Mathematics","AMATH 518 ","Theory of Optimal Control","3","MATH 426, MATH 515","Trajectories from ordinary differential equations with control variables. Controllability, optimality, maximum principle. Relaxation and existence of solutions. Techniques of nonsmooth analysis.","real analysis on the level of MATH 426; background in optimization corresponding to MATH 515","Control Systems & Optimization, Differential Equations & Dynamical Systems, Optimization"
"Applied Mathematics","AMATH 521","Special Topics in Mathematical Biology","5","","Examines fundamental models that arise in biology and their analysis through modern scientific computing. Covers discrete and continuous-time dynamics, in deterministic and stochastic settings, with application from molecular biology to neuroscience to population dynamics; statistical analysis of experimental data; and MATLAB and/or Python programming from scratch. ","either a course in differential equations or permission of instructor.","Mathematical Biology, Mathematical Modeling, Combinatorics & Discrete Mathematics"
"Applied Mathematics","AMATH 522","Computational Modeling of Biological Systems","5","","Examines fundamental models that arise in biology and their analysis through modern scientific computing. Covers discrete and continuous-time dynamics, in deterministic and stochastic settings, with application from molecular biology to neuroscience to population dynamics; statistical analysis of experimental data; and MATLAB and/or Python programming from scratch.","either a course in differential equations or permission of instructor.","Mathematical Biology, Mathematical Modeling, Computation & Scientific Computing"
"Applied Mathematics","AMATH 523","Mathematical Analysis in Biology and Medicine","5","","Focuses on developing and analyzing mechanistic, dynamic models of biological systems and processes, to better understand their behavior and function. Applications drawn from many branches of biology and medicine. Provides experiences in applying differential equations, difference equations, and dynamical systems theory to biological problems.","either courses in differential equations and statistics and probability, or permission of instructor. ","Mathematical Biology, Mathematical Modeling, Analysis & Real Analysis"
"Applied Mathematics","AMATH 524","Mathematical Biology: Spatiotemporal Models","5","","Examines partial differential equations for biological dynamics in space and time. Draws examples from molecular and cell biology, ecology, epidemiology, and neurobiology. Topics include reaction-diffusion equations for biochemical reactions, calcium wave propagation in excitable medium, and models for invading biological populations. ","either a course in partial differential equations or permission of instructor.","Mathematical Biology, Mathematical Modeling, Bioengineering & Neural Engineering"
"Applied Mathematics","AMATH 531","MATHEMATICAL THEORY OF CELLULAR DYNAMICS","3","","Develops a coherent mathematical theory for processes inside living cells. Focuses on analyzing dynamics leading to functions of cellular components (gene regulation, signaling biochemistry, metabolic networks, cytoskeletal biomechanics, and epigenetic inheritance) using deterministic and stochastic models. ","either courses in dynamical systems, partial differential equations, and probability, or permission of instructor.","Mathematical Biology, Mathematical Modeling, Combinatorics & Discrete Mathematics"
"Applied Mathematics","AMATH 532","Mathematics of Genome Analysis and Molecular Modeling","5","","Covers genome analysis, including bioinformatics and molecular modeling in terms of molecular dynamics.","either AMATH 506 or permission of instructor. ","Mathematical Biology, Mathematical Modeling, Bioengineering & Neural Engineering"
"Applied Mathematics","AMATH 533","Neural Control of Movement: A Computational Perspective","3","","Systematic overview of sensorimotor function on multiple levels of analysis, with emphasis on the phenomenology amenable to computational modeling. Topics include musculoskeletal mechanics, neural networks, optimal control and Bayesian inference, learning and adaptation, internal models, and neural coding and decoding. ","vector calculus, linear algebra, MATLAB, Python, or permission of instructor.","Control Systems & Optimization, Robotics & Automation, Artificial Intelligence & Machine Learning"
"Applied Mathematics","AMATH 534","Dynamics of Neurons and Networks","5","","Covers mathematical analysis and simulation of neural systems - singles cells, networks, and populations - via tolls of dynamical systems, stochastic processes, and signal processing. Topics include single-neuron excitability and oscillations; network structure and synchrony; and stochastic and statistical dynamics of large cell populations. ","either familiarity with dynamical systems and probability, or permission of instructor.","Mathematical Modeling, Mathematical Biology, Probability & Stochastic Processes"
"Applied Mathematics","AMATH 535","Mathematical Ecology","5","","Considers models, methods, and issues in population ecology. Topics include the effects of density dependence, delays, demographic stochasticity, and age structure on population growth; population interactions (predation, competition, and mutualism); and application of optimal control theory to the management of renewable resources. ","either a course in differential equations or permission of instructor.","Mathematical Modeling, Mathematical Biology, Probability & Stochastic Processes"
"Applied Mathematics","AMATH 536","Mathematical Modeling of Cancer","5","","Introduces stochastic and deterministic methods for mathematical modeling of cancer evolution. Particular emphasis on branching process models of cancer initiation, progression and response to therapy, and their relationship to clinical, epidemiological and sequencing data. The course introduces both analytic and computational approaches for modeling cancer, and gets students acquainted with the current research in the field. ","Previous experience with calculus, probability, ODEs and programming or permission of instructor. ","Mathematical Modeling, Mathematical Biology, Probability & Stochastic Processes"
"Applied Mathematics","AMATH 561","Introduction to Probability and Random Processes","5","","Introduces concepts in probability and stochastic dynamics needed for mathematical modeling. In addition to the basics of probability, includes martingales, Markov chains, and Chapman-Kolmogorov equations. Introduces concepts in measure theory from an applied mathematics perspective. Emphasis on presenting theories with examples and a variety of computational methods. ","either undergraduate coursework in partial differential equations; and undergraduate coursework in probability and statistics, or permission of instructor.","Probability & Stochastic Processes, Mathematical Modeling, Combinatorics & Discrete Mathematics"
"Applied Mathematics","AMATH 562","Advanced Stochastic Processes","5","AMATH 561","Stochastic dynamical systems aimed at students in applied math. Introduces basic concepts in continuous stochastic processes including Brownian motion, stochastic differential equations, Levy processes, Kolmogorov forward and backward equations, and Hamilton-Jacobi-Bellman partial differential equations. Presents theories with applications from physics, biology, and finance.","AMATH 561 or permission of instructor; recommended: undergraduate course in probability and statistics. ","Differential Equations & Dynamical Systems, Probability & Stochastic Processes, Mathematical Biology"
"Applied Mathematics","AMATH 563","Inferring Structure of Complex Systems","5","AMATH 561, AMATH 562","Introduces fundamental concepts of network science and graph theory for complex dynamical systems. Merges concepts from model selection, information theory, statistical inference, neural networks, deep learning, and machine learning for building reduced order models of dynamical systems using sparse sampling of high-dimensional data.","AMATH 561 and AMATH 562, or instructor permission ","Complex Analysis & Complex Variables, Differential Equations & Dynamical Systems, Mathematical Biology"
"Applied Mathematics","AMATH 567","Applied Complex Analysis","5","AMATH 401","Complex variable and associated topics. Branch cuts, series and product expansions. Contour integration, numerical implications. Harmonic functions. Complex potential (and singularities) in physical problems. Conformal mapping; applications and examples. Fourier and Laplace transforms and applications.","either AMATH 401or equivalent, or permission of instructor","Complex Analysis & Complex Variables, Analysis & Real Analysis, Combinatorics & Discrete Mathematics"
"Applied Mathematics","AMATH 568","Advanced Methods for Ordinary Differential Equations","5","","Regular and singular points of differential equations. Asymptotic expansions for solutions of linear ordinary equations. Regular and singular perturbations. Asymptotic evaluation of integrals. Boundary layers and the WKB method. The method of multiple scales. ","either a course in differential equations or permission of instructor. ","Differential Equations & Dynamical Systems, Numerical Analysis, Combinatorics & Discrete Mathematics"
"Applied Mathematics","AMATH 569","Advanced Methods for Partial Differential Equations","5","","Analytical solution techniques for linear partial differential equations. Discussion of how these arise in science and engineering. Transform and Green's function methods. Classification of second-order equations, characteristics. Conservation laws, shocks. ","either a course in partial differential equations or permission of instructor.","Differential Equations & Dynamical Systems, Numerical Analysis, Complex Analysis & Complex Variables"
"Applied Mathematics","AMATH 570","Approximation Theory and Spectral Methods","5","AMATH 584, MATH 585, AMATH 586","Introduction to interpolation and approximation of data and functions by polynomials, piecewise polynomials, and trigonometric series. Covers aspects of implementation including FFTs and the chebfun software. Spectral methods for solving differential equations serve as main motivating application, along with other approximation problems. ","AMATH 584; MATH 585; AMATH 586; programing experience in either Matlab or Python; or permission of instructor. ","Computer-Aided Mathematics, Optimization, Discrete Mathematics & Graph Theory"
"Applied Mathematics","AMATH 571","Intelligent Control through Learning and Optimization","3","","Design or near-optimal controllers for complex dynamical systems, using analytical techniques, machine learning, and optimization. Topics from deterministic and stochastic optimal control, reinforcement learning and dynamic programming, numerical optimization in the context of control, and robotics. ","vector calculus; linear algebra; MATLAB. ","Control Systems & Optimization, Artificial Intelligence & Machine Learning, Optimization"
"Applied Mathematics","AMATH 573","Coherent Structures, Pattern Formation and Solitons","5","","Methods for nonlinear partial differential equations (PDEs) leading to coherent structures and patterns. Includes symmetries, conservations laws, stability Hamiltonian and variation methods of PDEs; interactions of structures such as waves or solitons; Lax pairs and inverse scattering; and Painleve analysis. ","either a course in partial differential equations or permission of instructor. ","Differential Equations & Dynamical Systems, Combinatorics & Discrete Mathematics, Topology & Geometry"
"Applied Mathematics","AMATH 574","Conservation Laws and Finite Volume Methods","5","AMATH 586","Theory of linear and nonlinear hyperbolic conservation laws modeling wave propagation in gases, fluids, and solids. Shock and rarefaction waves. Finite volume methods for numerical approximation of solutions; Godunov's method and high-resolution TVD methods. Stability, convergence, and entropy conditions. ","either AMATH 586 or permission of instructor. ","Differential Equations & Dynamical Systems, Numerical Analysis, Mathematical Modeling"
"Applied Mathematics","AMATH 575","Dynamical Systems","5","AMATH 502","Overview of ways in which complex dynamics arise in nonlinear dynamical systems. Topics include bifurcation theory, universality, Poincare maps, routes to chaos, horseshoe maps, Hamiltonian chaos, fractal dimensions, Liapunov exponents, and the analysis of time series. Examples from biology, mechanics, and other fields. ","either AMATH 502 or permission of instructor. ","Differential Equations & Dynamical Systems, Complex Analysis & Complex Variables, Topology & Geometry"
"Applied Mathematics","AMATH 581","Scientific Computing","5","","Survey of numerical techniques for differential equations. Emphasis is on implementation of numerical schemes for application problems. For ordinary differential equations, initial value problems and second order boundary value problems are covered. Methods for partial differential equations include finite differences, finite elements and spectral methods. Requires use of a scientific programming language (e.g., MATLAB or Python).","either a course in numerical analysis or permission of instructor.","Numerical Analysis, Computer-Aided Mathematics, Differential Equations & Dynamical Systems"
"Applied Mathematics","AMATH 582","Computational Methods for Data Analysis","5","","Exploratory and objective data analysis methods applied to the physical, engineering, and biological sciences. Brief review of statistical methods and their computational implementation for studying time series analysis, spectral analysis, filtering methods, principal component analysis, orthogonal mode decomposition, and image processing and compression.","either familiarity with a scientific programming language and college-level coursework in linear algebra, or permission of instructor. ","Data Science & Data Engineering, Analysis & Real Analysis, Computation & Scientific Computing"
"Applied Mathematics","AMATH 583","High-Performance Scientific Computing","5","AMATH 581","Introduction to hardware, software, and programming for large-scale scientific computing. Overview of multicore, cluster, and supercomputer architectures; procedure and object oriented languages; parallel computing paradigms and languages; graphics and visualization of large data sets; validation and verification; and scientific software development. ","AMATH 581, or permission of instructor. ","Computation & Scientific Computing, Data Science & Data Engineering, Computer Hardware & Architecture"
"Applied Mathematics","AMATH 584","Numerical Linear Algebra","5","","Singular value decomposition. QR factorization and linear least squares problems. Conditioning of problems and stability of algorithms. LU (lower-upper) factorization. Eigenvalue problems. Iterative methods for solving linear systems of equations. ","either a course in linear algebra or permission of instructor. ","Numerical Analysis, Differential Equations & Dynamical Systems, Complex Analysis & Complex Variables"
"Applied Mathematics","AMATH 585","Numerical Analysis","5","AMATH 352, AMATH 481, AMATH 581, AMATH 584, MATH 584, AMATH 584, MATH 584","Iterative methods for solving nonlinear systems of equations. Numerical approximation and interpolation. Fast Fourier transform. Operator spectrum approximation. Numerical differentiation and integration. Numerical methods for ordinary differential equations. ","either AMATH 352 (or equivalent), AMATH 481 (or equivalent), AMATH 581, AMATH 584/MATH 584, or permission of instructor; recommended: AMATH 584/MATH 584.","Numerical Analysis, Differential Equations & Dynamical Systems, Optimization"
"Applied Mathematics","AMATH 586","Numerical Methods for Partial Differential Equations","5","AMATH 352, AMATH 481, AMATH 569, AMATH 581, AMATH 584, MATH 584, AMATH 585, MATH 585, AMATH 584, MATH 584, AMATH 585, MATH 585","Method of lines discretization. Initial and boundary value problems, including finite difference methods and spectral methods. Elliptic, parabolic, hyperbolic and dispersive equations. Stability, accuracy, and convergence theory.","either AMATH 352 (or equivalent), AMATH 481 (or equivalent), AMATH 569 (which may be taken concurrently), AMATH 581, AMATH 584/MATH 584, AMATH 585/MATH 585, or permission of instructor; recommended: AMATH 584/MATH 584 and AMATH 585/MATH 585. ","Numerical Analysis, Differential Equations & Dynamical Systems, Discrete Mathematics & Graph Theory"
"Mathematics","MATH 100","Algebra","5","","Similar to the first three terms of high school algebra. Assumes no previous experience in algebra. Open only to students [1] in the Educational Opportunity Program or [2] admitted with an entrance deficiency in mathematics.","","Algebra & Abstract Algebra, Discrete Mathematics & Graph Theory, Mathematics Education & Career Development"
"Mathematics","MATH 102","Algebra","5","","Similar to the first three terms of high school algebra.","","Algebra & Abstract Algebra, Topology & Geometry, Computer-Aided Mathematics"
"Mathematics","MATH 103","Introduction to Elementary Functions","5","","Continues the study of algebra begun in MATH 100 and MATH 102 with emphasis on functions (polynomial, rational, logarithmic, exponential, and trigonometric).","","Algebra & Abstract Algebra, Combinatorics & Discrete Mathematics, Discrete Mathematics & Graph Theory"
"Mathematics","MATH 108","International Baccalaureate (IB) Mathematical Studies","5","","Course awarded based on International Baccalaureate (IB) score. Consult the Admissions Exams for Credit website for more information.","","Mathematics Education & Career Development, Computer-Aided Mathematics, Mathematical Biology"
"Mathematics","MATH 109","International Baccalaureate (IB) Standard Level Mathematics","5","","Course awarded based on International Baccalaureate (IB) score. Consult the Admissions Exams for Credit website for more information.","","Mathematics Education & Career Development, Computer-Aided Mathematics, Data Science & Data Engineering"
"Mathematics","MATH 111","Algebra with Applications","5","","Use of graphs and algebraic functions as found in business and economics. Algebraic and graphical manipulations to solve problems. Exponential and logarithm functions; various applications to growth of money. Recommended: completion of Department of Mathematics' Guided Self-Placement. ","","Discrete Mathematics & Graph Theory, Algebra & Abstract Algebra, Computer-Aided Mathematics"
"Mathematics","MATH 112","Application of Calculus to Business and Economics","5","MATH 111, MATH 120","Rates of change, tangent, derivative, accumulation, area, integrals in specific contexts, particularly economics. Techniques of differentiation and integration. Application to problem solving. Optimization. Credit does not apply toward a mathematics major. Course equivalent to: B MATH 144 and TMATH 122. Course overlaps with: MATH 124; Q SCI 291; STMATH 113; STMATH 114; STMATH 124; and TMATH 124.","a minimum grade of 2.0 in either MATH 111 or MATH 120, or a minimum score of 2 on the AP MATH AB exam.","Mathematics Education & Career Development, Computer-Aided Mathematics, Mathematical Biology"
"Mathematics","MATH 116","Introduction to Taylor Polynomials and Taylor Series","1","MATH 125","Brief introduction to Taylor polynomials, error bounds, and Taylor series. ","either a minimum grade of 2.0 in MATH 125, or a minimum score of 4 on BC advanced placement test. Credit/no-credit only.","Combinatorics & Discrete Mathematics, Discrete Mathematics & Graph Theory, Numerical Analysis"
"Mathematics","MATH 120","Precalculus","5","","Basic properties of functions, graphs; with emphasis on linear, quadratic, trigonometric, exponential functions and their inverses. Emphasis on multi-step problem solving. Maximum 10 credits allowed between TMATH 115; TMATH 116; TMATH 120; and MATH 120. Course equivalent to: TMATH 120. Course overlaps with: B MATH 123. Recommended: completion of Department of Mathematics' Guided Self-Placement.","","Discrete Mathematics & Graph Theory, Computer-Aided Mathematics, Combinatorics & Discrete Mathematics"
"Mathematics","MATH 124","Calculus with Analytic Geometry I","5","","First quarter in calculus of functions of a single variable. Emphasizes differential calculus. Emphasizes applications and problem solving using the tools of calculus. Course equivalent to: STMATH 124 and TMATH 124. Course overlaps with: MATH 112; B MATH 144; STMATH 113; STMATH 114; and TMATH 122. Recommended: completion of Department of Mathematics' Guided Self-Placement.","","Topology & Geometry, Computer-Aided Mathematics, Mathematics Education & Career Development"
"Mathematics","MATH 125","Calculus with Analytic Geometry II","5","MATH 124","Second quarter in the calculus of functions of a single variable. Emphasizes integral calculus. Emphasizes applications and problem solving using the tools of calculus. Cannot be taken for credit if credit has already been earned for MATH 207. Course equivalent to: STMATH 125 and TMATH 125.","either minimum grade of 2.0 in MATH 124, score of 3 on AB advanced placement test, or score of 3 on BC advanced placement test. ","Algebra & Abstract Algebra, Computer-Aided Mathematics, Mathematics Education & Career Development"
"Mathematics","MATH 126","Calculus with Analytic Geometry III","5","MATH 125, MATH 134","Third quarter in calculus sequence. Introduction to Taylor polynomials and Taylor series, vector geometry in three dimensions, introduction to multivariable differential calculus, double integrals in Cartesian and polar coordinates. Course equivalent to: STMATH 126 and TMATH 126. Course overlaps with: MATH 136. ","either a minimum grade of 2.0 in MATH 125, a minimum grade of 2.0 in MATH 134, or a minimum score of 4 on BC advanced placement test.","Topology & Geometry, Combinatorics & Discrete Mathematics, Algebra & Abstract Algebra"
"Mathematics","MATH 134","Accelerated [Honors] Calculus ","5","","Covers the material of MATH 124, MATH 125, MATH 126; MATH 207, MATH 208. First year of a two-year accelerated sequence. May receive advanced placement (AP) credit for MATH 124 after taking MATH 134. For students with above average preparation, interest, and ability in mathematics.","","Computer-Aided Mathematics, Mathematics Education & Career Development, Algebra & Abstract Algebra"
"Mathematics","MATH 135","Accelerated [Honors] Calculus","5","MATH 134","Covers the material of MATH 124, MATH 125, MATH 126; MATH 207, MATH 208. First year of a two-year accelerated sequence. May receive advanced placement (AP) credit for MATH 125 after taking MATH 135. For students with above average preparation, interest, and ability in mathematics. ","a minimum grade of 2.0 in MATH 134. ","Computer-Aided Mathematics, Mathematics Education & Career Development, Algebra & Abstract Algebra"
"Mathematics","MATH 136","Accelerated [Honors] Calculus","5","MATH 135","Covers the material of MATH 124, MATH 125, MATH 126; MATH 207, MATH 208. First year of a two-year accelerated sequence. For students with above average preparation, interest, and ability in mathematics. Course overlaps with: MATH 126. ","a minimum grade of 2.0 in MATH 135. ","Computer-Aided Mathematics, Mathematics Education & Career Development, Algebra & Abstract Algebra"
"Mathematics","MATH 207","Introduction to Differential Equations ","3","MATH 125","Introductory course in ordinary differential equations. Includes first- and second-order equations and Laplace transform. Course overlaps with: STMATH 207 and TMATH 207.","minimum grade of 2.0 in MATH 125. ","Differential Equations & Dynamical Systems, Computer-Aided Mathematics, Numerical Analysis"
"Mathematics","MATH 208","Matrix Algebra with Applications ","3","MATH 126","Systems of linear equations, vector spaces, matrices, subspaces, orthogonality, least squares, eigenvalues, eigenvectors, applications. For students in engineering, mathematics, and the sciences. Course overlaps with: STMATH 208 and TMATH 208. ","minimum grade of 2.0 in MATH 126. ","Algebra & Abstract Algebra, Topology & Geometry, Computer-Aided Mathematics"
"Mathematics","MATH 209","Linear Analysis ","3","MATH 207, MATH 208, MATH 136","First order systems of linear differential equations, Fourier series and partial differential equations, and the phase plane. ","either a minimum grade of 2.0 in both MATH 207 and MATH 208, or a minimum grade of 2.0 in MATH 136.","Differential Equations & Dynamical Systems, Numerical Analysis, Mathematical Modeling"
"Mathematics","MATH 224","Advanced Multivariable Calculus","3","MATH 126, MATH 136","Topics include double and triple integrals, the chain rule, vector fields, line and surface integrals. Culminates in the theorems of Green and Stokes, along with the Divergence Theorem. ","minimum grade of 2.0 in either MATH 126 or MATH 136. ","Combinatorics & Discrete Mathematics, Topology & Geometry, Discrete Mathematics & Graph Theory"
